City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nicoya,10.1483,-85.452,87.8,42,0,16.11,CR,1619133571
roura,4.7263,-52.3274,79.0,89,75,4.61,GF,1619133572
bardiyah,31.7561,25.0865,61.45,73,73,8.25,LY,1619133572
port hardy,50.6996,-127.4199,51.8,76,40,6.91,CA,1619133307
kandrian,-6.2167,149.55,84.0,72,87,3.91,PG,1619133572
tual,-5.6667,132.75,84.18,71,71,9.22,ID,1619133502
yaan,7.3833,8.5667,82.83,68,51,9.91,NG,1619133573
bredasdorp,-34.5322,20.0403,62.08,92,1,1.88,ZA,1619133166
ushuaia,-54.8,-68.3,42.8,87,75,14.97,AR,1619133573
naze,28.3667,129.4833,69.8,83,75,18.41,JP,1619133573
krasnoturansk,54.3186,91.5639,26.6,59,0,8.95,RU,1619133573
batagay-alyta,67.8006,130.4114,1.54,79,33,3.18,RU,1619133574
quatre cocos,-20.2078,57.7625,77.0,94,40,4.61,MU,1619133574
outjo,-20.1167,16.15,66.88,35,80,6.51,NA,1619133574
salym,60.0625,71.4789,30.61,75,6,9.89,RU,1619133574
noumea,-22.2763,166.4572,82.0,74,0,3.44,NC,1619133552
kopervik,59.2835,5.3067,42.8,61,90,11.5,NO,1619133575
padang,-0.9492,100.3543,75.2,94,40,2.3,ID,1619133383
port alfred,-33.5906,26.891,67.6,82,58,19.44,ZA,1619133377
georgetown,5.4112,100.3354,77.0,88,40,13.8,MY,1619133309
jingdezhen,29.2947,117.2079,66.33,96,92,2.55,CN,1619133575
makakilo city,21.3469,-158.0858,84.2,48,40,9.22,US,1619133575
henties bay,-22.116,14.2845,63.0,87,75,3.0,NA,1619133575
vestmannaeyjar,63.4427,-20.2734,44.94,80,100,25.77,IS,1619133576
tooele,40.5308,-112.2983,62.6,27,1,10.36,US,1619133352
bressanone,46.715,11.656,42.01,81,53,3.38,IT,1619133576
darlowo,54.421,16.4107,42.01,74,25,9.01,PL,1619133576
bailieborough,53.9167,-6.9667,34.59,89,0,5.32,IE,1619133576
la suiza,9.8524,-83.6133,78.8,68,40,13.8,CR,1619133577
miyazu,35.5333,135.1833,55.74,61,89,0.83,JP,1619133577
ostrovnoy,68.0531,39.5131,33.6,93,100,9.86,RU,1619133607
launceston,-41.45,147.1667,53.01,62,40,11.5,AU,1619133608
maroon town,18.3446,-77.7954,77.0,78,75,10.36,JM,1619133608
sao miguel do araguaia,-13.275,-50.1628,74.95,71,78,2.51,BR,1619133608
carbonia,39.1672,8.5222,57.0,82,20,2.3,IT,1619133608
khandbari,27.3747,87.2039,60.82,41,17,6.22,NP,1619133563
paka,4.6374,103.4368,73.4,100,20,4.09,MY,1619133608
narsaq,60.9167,-46.05,50.0,29,88,8.05,GL,1619133609
shrigonda,18.6167,74.6833,81.05,39,90,4.7,IN,1619133609
inuvik,68.3499,-133.7218,24.8,50,33,5.75,CA,1619133609
faya,18.3851,42.4509,60.8,44,0,2.75,SA,1619133610
codrington,-38.2667,141.9667,56.01,72,100,11.86,AU,1619133356
buraydah,26.326,43.975,78.8,22,0,5.75,SA,1619133601
malangwa,26.8568,85.5581,75.54,24,26,5.06,NP,1619133610
talaya,61.3833,152.75,25.27,92,100,4.14,RU,1619133503
san andres,12.5847,-81.7006,84.2,70,40,13.8,CO,1619133610
cabinda,-5.55,12.2,78.33,90,87,3.13,AO,1619133610
saint-esteve,42.7131,2.843,48.99,76,0,4.61,FR,1619133611
thunder bay,48.4001,-89.3168,53.6,40,20,11.5,CA,1619133611
khasan,42.4308,130.6434,44.38,75,100,4.52,RU,1619133611
shilka,51.85,116.0333,32.32,51,99,11.99,RU,1619133611
rio grande,-32.035,-52.0986,68.0,83,3,15.43,BR,1619133612
khani,41.9563,42.9566,50.0,93,90,4.61,GE,1619133479
le vauclin,14.5452,-60.8388,78.8,73,20,10.36,MQ,1619133612
mogadishu,2.0371,45.3438,82.06,78,94,9.46,SO,1619133612
yellowknife,62.456,-114.3525,17.6,53,75,17.27,CA,1619133612
sulangan,11.1373,123.7228,81.91,77,99,10.78,PH,1619133613
cockburn town,21.4612,-71.1419,80.6,74,40,11.5,TC,1619133613
san jose,37.3394,-121.895,69.01,55,20,14.97,US,1619133544
grindavik,63.8424,-22.4338,44.6,87,75,26.46,IS,1619133613
arcachon,44.5875,-1.0519,57.2,67,0,4.61,FR,1619133614
hermanus,-34.4187,19.2345,61.0,81,0,1.01,ZA,1619133614
komsomolskiy,40.4272,71.7189,48.2,81,0,1.68,UZ,1619133614
pontes e lacerda,-15.2261,-59.3353,79.48,65,64,1.1,BR,1619133614
tuatapere,-46.1333,167.6833,55.0,83,99,5.01,NZ,1619133615
novyy urengoy,66.0833,76.6333,27.95,84,99,15.61,RU,1619133615
ambulu,-8.345,113.6058,72.46,85,55,3.53,ID,1619133376
paamiut,61.994,-49.6678,32.31,83,43,2.53,GL,1619133615
nome,64.5011,-165.4064,44.6,49,40,8.05,US,1619133615
comodoro rivadavia,-45.8667,-67.5,48.2,76,0,4.99,AR,1619133616
luderitz,-26.6481,15.1594,64.85,71,1,7.02,NA,1619133570
matara,5.9485,80.5353,77.43,89,32,8.12,LK,1619133532
shache,38.4167,77.2406,50.41,14,12,6.73,CN,1619133616
leningradskiy,69.3833,178.4167,34.56,81,92,1.1,RU,1619133616
sisimiut,66.9395,-53.6735,30.11,75,61,6.91,GL,1619133617
helena,46.5927,-112.0361,35.6,64,90,14.97,US,1619133617
porto novo,6.4965,2.6036,84.2,84,40,11.5,BJ,1619133617
